7504 7213
5315 1840 1
7423 3100 1
1865 1427 0.5
6137 2867 1
3387 3174 0.1
2140 5493 1
380 6114 1
1858 6687 0.2
2447 1384 1
6203 3397 0.1
1452 1208 0.5
6151 4695 0.2
2615 2625 0.1
5274 1258 0.5
5107 710 0.333333
3203 2850 1
5796 6798 0.5
4091 1152 1
10 7167 1
4930 1930 0.333333
1480 3383 0.5
3439 5598 0.1
4562 709 1
7112 5984 1
1090 7155 0.2
5746 2854 0.5
888 1147 0.5
5711 1302 1
2214 4880 1
3668 2307 0.333333
4952 7355 0.5
7077 6858 1
6393 7484 1
830 3157 1
4029 4247 1
4003 2490 0.2
2890 6946 1
1072 5153 0.5
3975 3431 1
6541 7100 1
7101 612 1
3541 185 0.2
5579 6578 0.5
4390 7408 1
5250 7502 0.1
1824 65 0.333333
1253 6523 1
1461 3660 1
2971 131 1
1858 2736 1
3051 2333 1
160 5874 1
192 3949 0.333333
4140 4404 0.1
7309 5718 1
7221 38 0.5
5688 4860 1
7164 6321 0.5
6290 1789 1
4912 7215 1
3129 2762 1
1959 6491 0.1
4543 6683 0.5
6201 6887 1
7395 6692 1
5020 2473 0.5
6277 4225 1
6554 3886 1
2987 2672 1
3119 3648 1
5987 6778 0.1
3685 1233 1
7257 1840 1
3338 4105 1
7392 3997 0.2
2155 1513 0.333333
4093 3854 0.5
3387 6473 1
1499 1956 0.1
1031 1140 0.5
275 7127 0.5
2281 3308 0.5
6842 3061 1
3078 2464 0.1
2265 2352 1
4208 571 1
5056 729 0.5
6194 4116 0.5
3714 5615 0.333333
7475 2711 1
7380 2986 1
6559 5267 0.1
6603 4605 0.333333
4920 3747 0.333333
6975 2076 0.333333
1954 6284 1
5583 7404 0.5
5562 6095 1
4510 5873 0.1
1478 5844 0.5
7091 1784 1
4823 4407 0.333333
5863 3507 1
6029 4491 0.333333
1155 3962 0.333333
2201 1981 0.1
3819 60 0.2
2229 1686 0.1
4756 6196 0.5
1459 3738 0.333333
872 3325 0.1
6840 644 1
3066 2572 1
3530 1097 0.1
236 2253 1
6523 4454 0.333333
149 4337 0.1
1180 6567 0.5
4370 7387 0.1
5930 4910 0.333333
1894 1847 1
3210 1183 0.1
1430 313 1
3157 3843 1
5440 144 1
245 6667 0.2
599 2880 1
1013 4061 1
6681 4495 0.2
7105 2921 1
3763 879 1
7315 4090 0.1
72 5520 0.5
6840 1174 0.5
3266 2678 0.2
1945 6491 0.333333
5079 3154 1
1110 4167 1
7276 6912 0.2
5821 2577 1
1773 2404 1
3140 2216 0.333333
5690 2288 0.1
4618 5192 0.333333
3453 955 1
2432 6468 1
206 107 0.2
4796 1217 0.1
5576 989 0.5
7283 6811 0.5
4039 4648 1
5611 285 1
3769 5975 1
3512 6657 0.5
4428 6174 1
4087 4670 0.333333
6300 4876 0.2
4164 5737 1
2258 3809 0.5
3329 7156 0.5
6976 3691 1
5524 1799 0.5
6288 1632 1
1468 5144 1
5777 5637 1
7104 2220 0.5
3460 4584 1
3860 4812 0.1
5109 7071 1
7347 6464 1
4957 5936 1
7215 3957 0.333333
5822 6309 0.333333
2900 274 1
6268 2115 0.5
4739 5283 1
3944 1240 1
521 1164 1
6404 6273 0.1
1087 6116 0.5
2927 3569 0.5
4522 6848 0.5
3980 5166 1
1134 4131 1
3433 2895 1
3865 130 1
2581 138 1
1946 4228 1
2187 3128 0.333333
1995 279 0.2
763 6774 0.333333
5467 7360 0.2
6257 7404 0.2
5852 1035 0.5
1785 4468 1
3401 4398 0.5
6364 3043 1
7000 1053 1
4863 3240 1
1496 5235 0.5
309 5998 0.2
6259 26 0.5
482 6283 1
3440 4631 1
3024 2480 0.2
5504 1945 0.5
4179 805 0.5
2992 3869 1
2097 4797 1
4330 6293 1
2906 2666 0.5
753 1421 0.5
2025 5472 0.1
3197 1408 1
5404 496 1
639 2065 1
273 6244 1
2950 1732 0.5
6680 3829 1
6147 4223 1
3346 7129 0.5
2607 3947 1
5830 2036 0.5
3896 1297 1
6593 2765 1
3898 3404 0.333333
3148 7245 0.333333
6771 2691 0.333333
2824 5436 1
3674 4079 0.333333
6881 3489 1
5250 6096 0.333333
1105 4422 0.5
2431 814 1
1230 3471 0.1
4093 7369 1
1517 3013 0.1
5185 5849 1
6649 1169 1
502 4844 1
2146 4221 1
3415 1968 1
4696 6641 0.1
508 1568 0.1
1186 6366 0.333333
4628 2955 0.5
3971 536 0.5
6624 5721 1
4464 930 0.5
3804 1432 0.2
7223 3578 1
6628 3058 1
690 250 1
2742 4326 0.5
5608 1576 1
506 6205 0.333333
6710 6240 1
551 5360 1
4177 5888 0.2
5036 2188 1
3236 5476 1
5657 664 0.333333
2174 1354 0.5
1764 160 1
6490 5769 0.5
2575 6275 0.1
5184 1545 1
4393 2096 0.2
5755 2337 0.5
4112 3438 1
7470 6674 0.333333
2966 891 0.5
5456 3065 0.5
4260 4829 1
3454 7383 0.1
4225 2455 0.5
7265 3703 0.2
1538 592 0.1
1171 2411 1
2756 2588 1
6530 6122 0.5
772 1584 0.333333
6751 7040 1
6580 7364 1
2633 6882 0.1
4456 7172 0.5
4682 6933 0.5
6453 967 0.5
2817 5706 1
1151 959 1
2922 3553 0.2
3864 390 1
5328 7141 0.5
6290 2281 1
4208 4914 0.333333
2006 5434 0.333333
5827 2612 0.5
5847 1562 1
2523 443 1
5179 5162 1
6854 581 0.5
3212 509 1
1153 5837 1
2199 687 0.333333
6672 960 0.333333
3020 6534 0.5
2604 4858 1
5186 6769 0.2
1231 5357 1
6550 3032 1
5325 5950 0.5
3717 5226 1
6435 2444 1
4854 4643 0.333333
5554 7379 1
7232 6464 1
2905 5132 1
1191 2814 0.333333
4606 109 1
961 2724 0.2
6047 4113 1
4209 326 0.333333
6449 6761 1
3086 175 0.5
410 5729 1
2263 1521 1
3146 4427 1
4951 5618 0.1
2085 2720 1
4577 7250 1
6164 5793 1
2262 6066 1
3587 5011 1
7355 4161 0.1
391 4572 0.2
4742 2899 1
4117 6045 0.333333
1120 7060 0.333333
4506 1641 1
498 2282 0.333333
6717 4511 0.2
2042 6773 1
5196 2856 0.2
7240 6276 0.5
5890 6667 1
2398 7473 0.1
427 150 1
2883 4838 0.2
3085 5409 0.333333
6007 5907 1
4740 1184 1
5329 3226 0.5
4481 4487 1
773 4223 0.1
5162 6177 0.5
2683 1071 1
6671 1498 0.333333
1696 445 0.333333
3781 3530 1
7139 5602 0.5
1708 6406 1
4356 295 1
2706 841 1
3544 1614 1
6722 6776 1
1559 5523 0.1
3501 4690 0.2
5593 2450 0.333333
5019 6231 1
5919 1930 0.5
5221 3639 0.5
5708 491 0.333333
1550 6765 0.2
5814 6373 1
6430 5591 1
2151 3214 1
2511 2779 1
434 868 1
6307 5888 0.5
4270 4303 0.5
3899 5588 1
5998 7361 1
888 1407 0.1
4124 3285 0.2
1469 2211 0.5
1655 426 1
7363 2938 0.2
6322 3372 1
226 5743 0.2
3930 6077 1
2060 2472 0.5
3829 4534 0.5
2153 5423 1
3307 5611 0.1
3331 7080 1
5010 4799 0.5
2399 723 1
6136 7045 1
3238 3335 1
6227 3329 1
5648 5389 0.5
3153 5282 1
515 3500 1
2852 2871 0.5
970 6202 0.5
4868 3708 0.5
5625 2172 0.5
5383 4372 1
4578 106 0.1
5581 2398 0.5
1589 542 1
3637 7263 1
2716 274 0.5
3282 6694 0.2
1955 160 0.333333
3773 1093 0.333333
2886 6718 0.1
6290 661 1
1731 1304 0.2
4075 6885 1
2245 970 1
1869 671 0.1
2839 6956 0.333333
7309 6302 0.5
7146 4322 0.5
1746 591 1
3623 7045 1
167 5831 0.2
4652 58 0.2
1740 197 0.1
1225 2443 0.333333
4821 376 0.333333
671 3215 0.1
364 6588 0.333333
2814 2294 0.5
5425 4041 0.2
1625 3728 0.5
607 7463 0.2
251 4612 1
4766 6352 1
1159 3641 1
5657 958 0.1
7259 5198 0.5
441 1626 1
3862 4440 1
4100 2362 0.5
994 51 0.1
996 659 0.5
6830 4478 1
1281 1740 1
3434 6467 1
4094 4621 0.1
5130 440 1
5445 882 0.333333
4844 4744 0.333333
6538 4908 1
4768 1966 1
6359 2963 1
4341 5857 1
2999 7138 0.5
4073 3069 0.2
4852 3227 1
6590 854 0.5
2086 6299 0.5
6712 3640 1
4339 2674 0.2
391 3506 1
3999 2361 0.1
762 2766 0.2
5571 1829 0.1
681 1966 1
2258 6819 1
952 1969 1
3654 4056 1
7239 6832 1
191 3667 1
1988 123 1
5384 4122 1
4238 949 0.1
5014 2584 1
5424 3265 1
4967 5523 0.2
233 6475 0.5
7426 6194 1
5910 1993 1
4098 2184 1
4592 237 0.1
1088 5621 1
3514 5923 0.2
4771 3433 1
353 1353 1
1469 6320 0.5
5469 2618 0.333333
3934 2540 1
6455 946 1
800 1108 0.1
5949 1764 1
149 2852 0.5
5608 2431 1
4511 7202 1
5999 3619 1
6817 1152 1
1718 6621 0.5
3094 6619 0.5
6729 5570 0.5
4852 2435 1
5160 880 1
1769 1030 0.5
3999 6638 1
713 7213 1
860 5709 1
2360 1086 0.5
2309 2804 0.5
4876 1962 1
2479 1187 0.5
4596 2104 0.5
3885 3328 1
4938 1162 0.5
4908 5161 0.2
7308 5874 0.333333
5471 2798 1
3684 1223 0.2
2682 3532 1
798 4473 1
5533 3016 1
830 3677 1
2131 3626 1
4312 4629 0.1
3587 2033 1
5564 5405 0.1
7250 3372 0.333333
3206 3121 0.2
247 5803 1
3661 6601 0.2
1533 4630 1
4160 1525 1
4956 3656 0.2
1576 4032 1
6862 115 1
5869 5679 0.5
6815 5425 1
3056 1127 0.333333
519 4943 0.5
5083 1100 0.5
2680 2633 1
7230 6793 0.5
4016 309 1
4429 1885 0.5
5535 4811 1
1170 3177 0.333333
2211 6056 0.333333
2688 5176 1
6286 1760 0.5
4247 2907 1
1306 5588 1
6564 1378 0.2
1906 1458 1
905 1952 0.333333
3935 7487 1
7081 1154 0.333333
529 6933 0.2
6907 2117 0.2
2973 4467 0.2
3981 4778 0.5
2154 2149 1
6895 4777 1
3054 6683 1
7027 84 1
1445 84 1
4610 3229 0.2
7017 3758 0.333333
4040 3162 1
2303 6135 0.5
6263 6180 0.5
1690 830 1
6641 3790 1
5098 2908 0.1
1445 5999 0.1
7249 7444 0.5
1596 4551 1
1033 128 0.5
7035 232 1
146 2535 0.5
5228 4862 0.5
3648 6552 0.1
4218 1753 0.1
5628 6851 0.1
6218 793 1
6893 4106 1
3715 5702 1
7335 2799 0.2
3641 2330 1
2741 2476 1
472 3768 0.5
4383 7416 0.5
5189 194 1
5849 5823 1
1914 601 0.1
3978 7494 0.1
5982 7274 0.1
1098 3169 1
7413 2874 0.5
6457 5615 1
532 6087 1
3037 6534 1
655 4220 1
27 6133 1
6250 543 0.333333
1826 585 0.2
1508 2632 1
2956 3730 0.5
3267 3639 0.333333
2340 6160 0.2
3521 6692 1
4902 5794 1
5827 2513 0.1
6947 2540 0.333333
2450 1286 1
6059 6680 1
1786 4252 1
4787 7208 1
3453 2971 1
1057 1375 1
4276 960 0.5
6078 1926 1
6910 250 1
523 3261 0.5
3837 5712 0.333333
190 331 1
4265 2117 1
7404 2968 0.5
6401 2485 1
1534 3542 1
2827 314 0.5
2940 2456 1
1344 5430 1
2261 5953 1
5718 5854 1
2590 2109 0.333333
2575 6374 1
2876 2339 1
2881 1236 1
1922 2770 1
5907 1661 0.5
6916 4602 0.333333
6283 5946 0.5
5533 703 0.5
4476 2485 0.333333
1259 5076 1
5877 3715 0.1
1172 6591 1
6939 1968 0.5
3751 7459 0.5
4105 1926 1
4773 1338 1
3961 3685 1
4643 1714 0.5
3775 2254 0.5
1258 3513 0.5
4417 1886 0.2
2511 3058 0.333333
6880 6061 0.1
1046 2308 1
5486 6413 0.2
147 7250 0.2
6915 7275 0.2
684 4415 1
2661 686 1
3187 5512 0.5
1285 5994 0.5
3098 1001 0.333333
62 3946 0.1
6498 4992 1
5386 6542 1
6199 6689 1
4415 2164 1
6316 2849 1
2427 5510 1
4361 1193 0.5
2305 6046 0.1
2135 5208 1
1087 5270 1
6101 4264 0.2
5920 5714 1
712 474 1
6690 4889 0.5
1000 3701 1
7229 2192 0.1
6641 6554 1
125 1355 1
3539 7058 1
4018 641 1
940 2807 1
6421 4791 1
3437 5503 0.5
3206 753 1
1571 1754 1
6354 1479 1
5206 4184 0.5
1316 4309 0.5
3471 3912 1
6899 427 0.5
4156 4935 0.5
5678 7420 1
1475 6921 0.5
5249 2623 0.333333
6409 259 1
3765 2677 0.5
6882 379 1
1545 5263 0.2
1131 4799 0.333333
4207 258 1
3989 4414 0.1
6577 2589 0.1
2517 4064 1
391 5377 0.5
6155 4282 1
6169 4112 1
3727 3490 1
5469 1100 1
80 2231 1
6108 2503 0.5
1123 2556 1
1073 5197 1
572 210 0.5
3424 4170 1
1395 2821 1
3194 1487 0.2
4101 5214 1
5020 6747 1
131 6827 1
7176 5432 1
3408 2619 1
118 7261 1
6921 329 0.1
2412 3753 0.1
7216 1212 0.5
4863 4406 0.1
6622 4572 0.333333
432 2088 1
6413 5787 1
3186 5460 0.5
2462 1364 1
358 5050 1
7388 4467 1
6756 2943 1
6726 2655 0.5
5581 3583 0.5
5924 6269 1
40 6701 1
4472 1675 0.1
723 4861 0.1
5974 3388 1
6340 3746 1
6464 7198 1
2980 6450 1
3250 1736 0.5
4732 7318 1
6684 1802 0.333333
5705 1842 0.5
2878 2378 1
5838 3101 1
6755 1571 0.5
5099 3976 0.5
4558 6504 0.2
979 1980 0.1
344 5230 1
1996 6026 0.5
3663 5207 1
159 6976 1
6925 2350 1
358 684 1
2221 3503 0.333333
3535 4667 1
4660 1721 1
5480 6268 1
4878 6612 0.2
2444 1104 1
3393 831 0.2
2207 991 0.2
2864 412 1
5900 4339 0.5
597 2624 1
4369 6159 0.5
678 6884 1
3490 924 1
4347 5802 0.5
6499 4310 0.5
7173 3767 0.333333
5550 5975 0.5
6967 1335 0.2
3230 3299 1
3745 3896 1
3828 762 1
1074 5008 1
41 4562 0.1
1341 4974 0.5
1749 3969 0.5
2893 3638 1
4869 5252 0.5
332 779 0.5
3344 4009 0.5
3190 3818 0.1
5661 143 0.333333
2851 1217 1
2989 4827 1
483 6168 0.2
7347 3981 1
7081 6874 0.333333
7015 4240 0.5
1484 636 1
857 3980 0.333333
3529 3235 1
2593 4960 1
5988 3875 1
6886 6864 0.333333
907 3411 1
7406 3254 1
2866 6399 1
5532 5911 1
2010 3459 1
6771 380 0.1
4101 3909 0.2
5250 6503 1
2605 1051 0.333333
1178 433 1
642 4909 1
6274 4811 1
879 174 0.5
2359 1770 0.1
4142 7349 0.5
2994 6616 1
5459 3214 0.2
3654 4528 0.1
6810 7133 1
2400 4376 1
919 5018 1
2848 3789 1
4096 732 0.2
4239 6659 1
6357 3298 1
4430 6292 1
6452 311 0.5
4880 3966 1
5874 6840 1
416 5304 0.2
6463 6223 1
2411 5136 0.1
3170 1728 1
3736 2031 1
6072 884 0.1
749 1378 1
5610 327 1
2246 5207 1
3409 7145 0.1
266 57 0.5
1499 6520 0.5
247 4995 0.5
6351 662 1
1748 4398 1
237 2966 1
5591 7283 1
5798 5389 1
2381 3699 1
6865 7109 0.2
6750 3439 1
867 4939 1
839 1250 1
5948 97 1
1344 1846 0.2
6276 5651 1
4587 7306 0.1
341 1665 0.5
7494 4046 0.5
4846 6975 0.1
5408 6221 0.5
6027 3152 1
1726 3992 0.333333
5989 2436 1
3410 7348 0.5
1293 6120 1
5710 6772 0.5
5970 7113 0.5
4116 3168 0.1
2025 510 1
7043 5918 0.2
4060 4441 0.333333
2081 2232 1
5287 4285 0.5
719 192 1
5501 5053 1
4494 6828 0.2
6858 5294 1
6950 5474 0.5
3217 7499 1
2891 3102 1
4850 3227 0.5
6026 5308 1
3690 6659 0.1
7358 7379 1
6935 1440 0.1
5128 1999 0.333333
2589 4921 1
3227 431 0.2
7034 3648 1
3847 6539 1
2642 7454 0.1
5879 5976 0.5
3476 5731 1
1791 1649 0.5
7433 1080 0.5
3121 6208 1
5637 1293 1
5576 4521 0.333333
7421 4051 1
1389 3962 1
5964 6604 0.1
2326 1044 1
60 4520 1
4454 2375 0.2
4786 2305 1
2623 1490 0.1
2459 3192 1
7216 1264 0.5
4901 4749 1
6234 6138 1
2666 663 0.333333
6553 2989 0.333333
4976 6618 1
1626 3568 0.5
3493 4418 1
6441 3106 0.5
4158 1629 1
6736 1342 1
6331 2307 1
2105 1037 0.5
5777 7271 0.1
677 6320 0.333333
558 7360 0.5
1023 5050 0.333333
3863 1040 1
5073 7481 0.1
3837 199 0.1
2225 6935 1
5445 5762 1
5910 363 0.1
5009 2204 1
836 2882 1
3220 7008 1
4718 527 0.2
5848 454 1
3892 5527 0.333333
4675 5428 0.333333
3519 149 1
7273 1658 1
5830 64 1
5056 5074 0.5
481 1974 0.1
1859 5194 1
3094 5976 1
1875 4320 1
5264 4276 1
1126 1447 1
756 1030 1
3754 799 0.2
4642 2693 0.1
5893 245 1
1477 4295 1
7447 2218 0.1
1481 5312 0.5
3546 3251 1
6066 1011 0.5
2673 2138 0.1
772 6462 0.1
6525 6280 1
6433 3418 0.2
2469 5376 1
3579 6853 0.5
2727 2861 1
3133 4342 0.5
2011 385 0.333333
1273 2515 1
4811 1252 1
5861 2024 0.1
438 1046 0.2
6886 3543 1
4587 6012 0.2
2534 2087 1
4408 878 1
4933 75 0.333333
6834 2086 0.5
546 6927 0.1
6710 298 0.1
7140 2224 0.2
2961 2662 0.2
1126 5612 0.1
2709 6263 0.333333
2165 1294 0.2
602 1766 0.2
1900 2763 0.1
36 5661 0.5
2126 6208 0.5
2794 1478 1
1147 1115 1
5092 4076 1
6147 5202 1
3241 3975 1
6347 2204 1
100 2806 0.2
2235 4706 1
509 4743 0.5
869 2933 1
4220 5727 1
3933 2938 0.1
5871 4094 1
6534 2737 1
5306 5978 1
2837 4821 0.333333
1294 4921 0.333333
1517 3220 1
4504 3729 0.1
5649 4598 1
1561 4882 0.1
6456 4880 0.5
4962 3247 0.2
3608 2277 0.2
3520 79 1
3472 6484 0.5
2060 3842 0.333333
3454 5360 1
5619 2360 0.5
5023 4073 1
3424 5635 0.5
3617 651 1
6748 1678 0.5
2533 1350 0.5
1056 935 1
1622 4407 0.1
3073 6467 0.5
1941 5985 1
94 4101 1
1977 5188 0.333333
4522 4677 0.2
4445 790 0.2
5313 3602 1
1923 2199 1
4379 6824 0.5
6915 4510 0.5
559 79 1
1981 5588 0.5
4828 1747 1
6099 3724 0.5
3939 742 0.1
3479 1251 0.1
3670 6564 1
1603 4552 0.1
886 1427 1
1105 4406 0.333333
1794 1029 0.5
1447 6579 1
7085 3903 1
1816 6066 0.333333
1367 2501 0.333333
2028 5980 0.1
7046 5714 0.5
4227 7317 0.1
7175 700 1
1939 5373 0.1
1213 7167 0.5
4134 1110 0.5
1203 691 1
3956 6075 1
6496 7443 1
5843 1967 0.1
6441 5077 0.333333
2163 5368 1
6006 5039 0.333333
3772 3042 1
2008 319 0.1
4842 517 1
3183 1721 0.333333
5059 1741 0.5
1929 4301 1
933 2640 0.333333
5917 5145 0.5
5175 3373 1
4247 1875 1
83 5647 0.333333
5228 3719 0.2
6101 4626 1
580 3873 0.5
6822 1429 0.2
4132 6926 1
4949 355 1
3797 2336 1
219 8 0.5
2009 319 0.1
4902 403 1
6902 1695 1
1718 3860 1
619 504 0.1
1241 7327 1
7172 19 0.333333
2396 1033 1
7397 4830 0.1
6472 5049 0.5
4983 7058 1
5370 521 0.5
7467 3487 0.5
1844 1269 1
847 1888 1
3724 6697 1
525 6365 0.2
317 4826 0.5
4401 783 1
6885 3319 1
5441 799 0.5
4316 2233 0.1
7163 5764 1
4201 105 0.2
